index,abbrev,name,prob_All,count_All,prob_East,count_East,prob_West,count_West
1,DZ,Drizzle,0.3457304022835792,5.5982431e7,0.34329120091193727,5.1707428e7,0.38113103034291995,4.160033e6
2,RN,Rain,0.3305764455805225,5.3528625e7,0.33121650242188355,4.9888705e7,0.32128605415975564,3.506827e6
3,CR,Ice Crystals,0.01684319447368207,2.727336e6,0.01685473013509662,2.538704e6,0.016533076413966584,180458.0
4,AG,Aggregates,0.22641797547598286,3.6662754e7,0.22828489339414926,3.4384874e7,0.20016952866925491,2.184844e6
5,WS,Wet Snow,0.05200001632853678,8.420108e6,0.0535437689803385,8.064904e6,0.03168676261808555,345860.0
6,VI,Vertical Ice,0.020357819380235318,3.296442e6,0.01896792502837704,2.856999e6,0.03826195367682251,417628.0
7,LDG,Low-Density Graupel,0.003086198438298971,499733.0,0.002930362867155372,441379.0,0.005136432832418748,56064.0
8,HDG,High-Density Graupel,0.004936288353017135,799309.0,0.004883376000778316,735547.0,0.0054397777437368575,59375.0
9,HA,Hail,3.433686251846942e-5,5560.0,1.8377051052012146e-5,2768.0,0.00022940974265797206,2504.0
10,BD,Big Drops,1.732282362667387e-5,2805.0,8.863209232094009e-6,1335.0,0.00012597380038127458,1375.0
